keys,English,Bangala,Hindi,Kannada,Odia,Assamese,Gujarati,Marathi,Malayalam,punjabi,Tamil,Telugu
willupdateyousoon,Will Update you soon ,শীঘ্রই আপনাকে আপডেট করবে,जल्द ही आपको अपडेट करेंगे,ಶೀಘ್ರದಲ್ಲೇ ನಿಮ್ಮನ್ನು ನವೀಕರಿಸುತ್ತದೆ,ତୁମକୁ ଶୀଘ୍ର ଅପଡେଟ୍ କରିବ |,আপোনাক সোনকালে আপডেট কৰিব,તમને જલ્દીથી અપડેટ કરશે,लवकरच तुम्हाला अपडेट करू,നിങ്ങളെ ഉടൻ അപ്ഡേറ്റ് ചെയ്യും,ਤੁਹਾਨੂੰ ਜਲਦੀ ਅਪਡੇਟ ਕਰੇਗਾ,விரைவில் உங்களைப் புதுப்பிக்கும்,త్వరలో మిమ్మల్ని అప్‌డేట్ చేస్తుంది
ok,Ok,ঠিক আছে,ठीक,ಸರಿ,ଠିକ୍ ଅଛି,হ'ব,બરાબર,ठीक आहे,ശരി,ਠੀਕ ਹੈ,சரி,అలాగే
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
viewALl,View all,সব দেখ,सभी देखें,ಎಲ್ಲಾ ವೀಕ್ಷಿಸಿ,ସମସ୍ତ ଦେଖନ୍ତୁ |,সকলো দৰ্শন কৰক,બધુજ જુઓ,सर्व पहा,എല്ലാം കാണുക,ਸਭ ਵੇਖੋ,அனைத்தையும் காட்டு,అన్నీ చూడండి
,,,,,,,,,,,,
addDetail,Add Detail,বিশদ যুক্ত করুন,विस्तार जोड़ें,ವಿವರವನ್ನು ಸೇರಿಸಿ,ସବିଶେଷ ତଥ୍ୟ ଯୋଡନ୍ତୁ |,বিৱৰণ যোগ কৰক,વિગતવાર ઉમેરો,तपशील जोडा,വിശദാംശങ്ങൾ ചേർക്കുക,ਵੇਰਵਾ ਸ਼ਾਮਲ ਕਰੋ,விவரங்களைச் சேர்க்கவும்,వివరాలు జోడించండి
Preorderdiscount,Pre  Order discount,প্রাক অর্ডার ছাড়,पूर्व आदेश छूट,ಪೂರ್ವ ಆದೇಶ ರಿಯಾಯಿತಿ,ପୂର୍ବ ଅର୍ଡର ରିହାତି,বিৱৰণ যোগ কৰক,પૂર્વ -ઓર્ડર ડિસ્કાઉન્ટ,पूर्व ऑर्डर सवलत,പ്രീ ഓർഡർ ഡിസ്കൗണ്ട്,ਪ੍ਰੀ ਆਰਡਰ ਛੂਟ,முன் ஒழுங்கு தள்ளுபடி,ప్రీ ఆర్డర్ డిస్కౌంట్
addmore,Add More,আরো যোগ করো,अधिक जोड़ें,ಇನ್ನಷ್ಟು ಸೇರಿಸಿ,ଅଧିକ ଯୋଗ କରନ୍ତୁ,অধিক যোগ কৰক,વધુ ઉમેરો,आणखी जोडा,കൂടുതൽ ചേർക്കുക,ਹੋਰ ਸ਼ਾਮਲ ਕਰੋ,மேலும் சேர்க்கவும்,మరిన్ని జోడించండి
masalas,Masalas,মাসালাস,मसालों,ಒಂದು ಬಗೆಯ ಇತ್ಯರ್ಥ,ମାସ୍ଲାସ୍ |,মচলা,મસાલા,मसाला,മസാലസ്,ਮਸਾਲੇ,மசாலாஸ்,మసాలాస్
oil,Oil,তেল,तेल,ತೈಲ,ତେଲ,তেল,તેલ,तेल,എണ്ണ,ਤੇਲ,எண்ணெய்,నూనె
staples ,Staples,স্ট্যাপলস,स्टेपल्स,ಪತಂಗಗಳು,ଷ୍ଟାପଲ୍ସ,ষ্টেপল,મુખ્ય ભાગ,स्टेपल्स,സ്റ്റേപ്പിൾസ്,ਸਟੈਪਲਜ਼,ஸ்டேபிள்ஸ்,స్టేపుల్స్
drinks&Beavarages ,Drinks&Beavarages,পানীয় এবং বেভারেজ,पेय और बीवरेज,ಪಾನೀಯಗಳು ಮತ್ತು ಬೀವರೇಜ್‌ಗಳು,ପାନୀୟ ଏବଂ ବାହାଙ୍କା |,পানীয় আৰু বিভাৰেজ,પીણાં અને બીવરેજ,पेय आणि बेव्हरेज,പാനീയങ്ങളും മുയലുകളും,ਡ੍ਰਿੰਕ ਅਤੇ ਬੇਵਕੂਫ,பானங்கள் மற்றும் பீவரேஜ்கள்,పానీయాలు & బీవరేజెస్
taptorecordyourcomplain,Tap to record your complain,আপনার অভিযোগ রেকর্ড করতে আলতো চাপুন,अपनी शिकायत रिकॉर्ड करने के लिए टैप करें,ನಿಮ್ಮ ದೂರನ್ನು ರೆಕಾರ್ಡ್ ಮಾಡಲು ಟ್ಯಾಪ್ ಮಾಡಿ,ଆପଣଙ୍କର ଅଭିଯୋଗ ରେକର୍ଡ କରିବାକୁ ଟ୍ୟାପ୍ କରନ୍ତୁ |,আপোনাৰ অভিযোগ ৰেকৰ্ড কৰিবলৈ টেপ কৰক,તમારી ફરિયાદ રેકોર્ડ કરવા માટે ટેપ કરો,आपली तक्रार रेकॉर्ड करण्यासाठी टॅप करा,നിങ്ങളുടെ പരാതി രേഖപ്പെടുത്താൻ ടാപ്പുചെയ്യുക,ਆਪਣੀ ਸ਼ਿਕਾਇਤ ਦਰਜ ਕਰਨ ਲਈ ਟੈਪ ਕਰੋ,உங்கள் புகாரை பதிவு செய்ய தட்டவும்,మీ ఫిర్యాదును రికార్డ్ చేయడానికి నొక్కండి
rerecord,Re-record,পুনরায় রেকর্ড,पुन: रिकॉर्ड,ಮರುಪಾವತಿ,ପୁନ-ରେକର୍ଡ,পুনৰ ৰেকৰ্ড কৰক,ફરીથી રેકોર્ડ,पुन्हा रेकॉर्ड करा,വീണ്ടും റെക്കോർഡുചെയ്യുക,ਦੁਬਾਰਾ ਰਿਕਾਰਡ,மறு பதிவு,తిరిగి రికార్డ్
Successful,Successful,সফল,सफल,ಯಶಸ್ವಿ,ସଫଳ,সফল,સફળ,यशस्वी,വിജയകരമായ,ਸਫਲ,வெற்றி,విజయవంతమైంది
areyousure.youwanttowithdrawcomplaint,Are you sure. you want to withdraw complaint?,তুমি কি নিশ্চিত. আপনি অভিযোগ প্রত্যাহার করতে চান?,क्या आपको यकीन है। आप शिकायत वापस लेना चाहते हैं?,ನೀವು ಖಚಿತವಾಗಿರುವಿರಾ. ನೀವು ದೂರನ್ನು ಹಿಂತೆಗೆದುಕೊಳ್ಳಲು ಬಯಸುವಿರಾ?,ତମେ ନିଶ୍ଚିତ କି। ଆପଣ ଅଭିଯୋଗ ପ୍ରତ୍ୟାହାର କରିବାକୁ ଚାହୁଁଛନ୍ତି କି?,তুমি নিশ্চিত নে। আপুনি অভিযোগ প্ৰত্যাহাৰ কৰিব বিচাৰে নেকি?,તમને ખાતરી છે? તમે ફરિયાદ પાછી ખેંચી લેવા માંગો છો?,तुम्हाला खात्री आहे. आपण तक्रार मागे घेऊ इच्छिता?,നിങ്ങൾക്ക് ഉറപ്പാണോ. പരാതി പിൻവലിക്കാൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുണ്ടോ?,ਤੁਹਾਨੂੰ ਪੂਰਾ ਵਿਸ਼ਵਾਸ ਹੈ. ਤੁਸੀਂ ਸ਼ਿਕਾਇਤ ਵਾਪਸ ਲੈਣਾ ਚਾਹੁੰਦੇ ਹੋ?,நீ சொல்வது உறுதியா. நீங்கள் புகாரை திரும்பப் பெற விரும்புகிறீர்களா?,మీరు చెప్పేది నిజమా. మీరు ఫిర్యాదును ఉపసంహరించుకోవాలనుకుంటున్నారా?
Status,Status ,স্থিতি,दर्जा,ಸ್ಥಾನಮಾನ,ସ୍ଥିତି,স্থিতি,દરજ્જો,स्थिती,പദവി,ਸਥਿਤੀ,நிலை,స్థితి
reopen,Reopen,পুনরায় খোলা,फिर से खोलना,ಪುನಃ ತೆರೆಯಿಸು,ଖୋଲିବା,পুনৰ খোলক,ફરીથી ખોલવું,पुन्हा उघडा,വീണ്ടുംപിക്കുക,ਦੁਬਾਰਾ ਖੋਲ੍ਹੋ,மீண்டும் திறக்கவும்,తిరిగి తెరవండి
otpsenttoregisteredmobilenumber,OTP sent to registered mobile number,ওটিপি নিবন্ধিত মোবাইল নম্বর পাঠিয়েছে,ओटीपी पंजीकृत मोबाइल नंबर पर भेजा गया,ನೋಂದಾಯಿತ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಗೆ ಒಟಿಪಿ ಕಳುಹಿಸಲಾಗಿದೆ,ପଞ୍ଜୀକୃତ ମୋବାଇଲ୍ ନମ୍ବରକୁ OTP ପଠାଯାଇଛି |,পঞ্জীভুক্ত ম'বাইল নম্বৰলৈ ওটিপি প্ৰেৰণ কৰা হৈছে,ઓટીપી રજિસ્ટર્ડ મોબાઇલ નંબર પર મોકલ્યો,नोंदणीकृत मोबाईल क्रमांकावर OTP पाठवला आहे,രജിസ്റ്റർ ചെയ്ത മൊബൈൽ നമ്പറിലേക്ക് OTP അയച്ചു,ਓਟੀਪੀ ਨੇ ਰਜਿਸਟਰਡ ਮੋਬਾਈਲ ਨੰਬਰ ਤੇ ਭੇਜਿਆ,பதிவுசெய்யப்பட்ட மொபைல் எண்ணுக்கு OTP அனுப்பப்பட்டது,OTP రిజిస్టర్డ్ మొబైల్ నంబర్‌కు పంపబడింది
,,,,,,,,,,,,
,,,,,,,,,,,,
mini.PricePerOrder,Mini. price per order,মিনি অর্ডার প্রতি মূল্য,छोटा। प्रति आदेश कीमत,ಮಿನಿ. ಪ್ರತಿ ಆದೇಶಕ್ಕೆ ಬೆಲೆ,ମିନି କ୍ରମର ମୂଲ୍ୟ,মিনি। প্ৰতি অৰ্ডাৰৰ মূল্য,મીની. હુકમ દીઠ ભાવ,प्रति ऑर्डर किमान किंमत,മിനി. ഓരോ ഓർഡറിനും വില,ਮਿਨੀ. ਪ੍ਰਤੀ ਆਰਡਰ,ஒரு ஆர்டருக்கான குறைந்தபட்ச விலை,మినీ. ప్రతి ఆర్డర్‌కు ధర
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Mins, mins, মিনিট, मिनट, ನಿಮಿಷ, ମିନିଟ୍,মিনিট, કણ, मि, MINS, ਮਿੰਟ, நிமிடங்கள், నిమిషాలు
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
deliverySlots,Delivery Slots,বিতরণ স্লট,वितरण स्लॉट,ವಿತರಣಾ ಸ್ಲಾಟ್‌ಗಳು,ବିତରଣ ସ୍ଲଟ୍ |,ডেলিভাৰী স্লটসমূহ,ડિલિવરી સ્લોટ્સ,वितरण स्लॉट,ഡെലിവറി സ്ലോട്ടുകൾ,ਡਿਲਿਵਰੀ ਸਲਾਟ,விநியோக இடங்கள்,డెలివరీ స్లాట్లు
,,,,,,,,,,,,
,,,,,,,,,,,,
Km, Km, কিমি, किमी, ಕಿಮೀ, କିଲୋମିଟର,কিমি, કિ.મી., किमी, കെഎം, ਕਿਮੀ, கி.மீ., Km
,,,,,,,,,,,,
,,,,,,,,,,,,
onOrdersMore,on Orders more,আরও অর্ডার উপর,आदेशों पर अधिक,ಆದೇಶಗಳ ಮೇರೆಗೆ,ଅଧିକ ଅର୍ଡର ଉପରେ |,অধিক অৰ্ডাৰত,વધુ ઓર્ડર પર,अधिक ऑर्डरवर,കൂടുതൽ ഓർഡറുകളിൽ,ਆਰਡਰ ਹੋਰ 'ਤੇ,மேலும் ஆர்டர்களில்,ఆర్డర్‌లపై మరింత
than,than,এর চেয়েও,बजाय,ಅದಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿ,ଅପେକ୍ଷା,তাতকৈ,કરતાં,पेक्षा,... ക്കാളും,ਨਾਲੋਂ,விட,కంటే
enableFreeShipping,Enable free Shipping,বিনামূল্যে শিপিং সক্ষম করুন,मुफ़्त शिपिंग सक्षम करें,ಉಚಿತ ಸಾಗಾಟವನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ,ମାଗଣା ସିପିଂ ସକ୍ଷମ କରନ୍ତୁ |,বিনামূলীয়া পৰিবহন সক্ষম কৰক,મફત શિપિંગને સક્ષમ કરો,विनामूल्य शिपिंग सक्षम करा,സ sh ജന്യ ഷിപ്പിംഗ് പ്രവർത്തനക്ഷമമാക്കുക,ਮੁਫਤ ਸ਼ਿਪਿੰਗ ਨੂੰ ਸਮਰੱਥ ਕਰੋ,இலவச கப்பலை இயக்கவும்,ఉచిత షిప్పింగ్‌ను ప్రారంభించండి
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
enterMobile,Enter mobile number,মোবাইল নম্বর লিখুন,मोबाइल नंबर दर्ज करें,ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ,ମୋବାଇଲ୍ ନମ୍ବର ପ୍ରବେଶ କରନ୍ତୁ |,মোবাইল নম্বৰ প্ৰবিষ্ট কৰক,મોબાઇલ નંબર દાખલ કરો,मोबाईल नंबर प्रविष्ट करा,മൊബൈൽ നമ്പർ നൽകുക,ਮੋਬਾਈਲ ਨੰਬਰ ਦਰਜ ਕਰੋ,மொபைல் எண்ணை உள்ளிடவும்,మొబైల్ నంబర్‌ను నమోదు చేయండి
numberFor,number for,জন্য সংখ্যা,के लिए संख्या,ದೂರವಾಣಿ ಸಂಖೆಯನ್ನು ನಮೂದಿಸಿ,ସଂଖ୍ୟା ପାଇଁ ସଂଖ୍ୟା,ইয়াৰ বাবে সংখ্যা,ના નંબર,साठी क्रमांक,ഇതിനുള്ള നമ്പർ,ਲਈ ਨੰਬਰ,எண்,సంఖ్య
otpVerification,OTP Verification,ওটিপি যাচাইকরণ,ओटीपी सत्यापन,ಒಟಿಪಿ ಪರಿಶೀಲನೆ,OTP ଯାଞ୍ଚ |,ওটিপি প্ৰমাণীকৰণ,ઓટીપી ચકાસણી,ओटीपी पडताळणी,OTP സ്ഥിരീകരണം,ਓਟੀਪੀ ਤਸਦੀਕ,OTP சரிபார்ப்பு,OTP ధృవీకరణ
terms&Conditions,Terms & Conditions,শর্তাবলী,नियम एवं शर्तें,ನಿಯಮ ಮತ್ತು ಶರತ್ತುಗಳು,ସର୍ତ୍ତାବଳୀ ଏବଂ ସର୍ତ୍ତଗୁଡିକ,চৰ্তাৱলী আৰু নিয়মাৱলী,શરતો અને નિયમો,अटी व शर्ती,നിബന്ധനകളും വ്യവസ്ഥകളും,ਨਿਯਮ ਅਤੇ ਸ਼ਰਤਾਂ,விதிமுறைகளும் நிபந்தனைகளும்,నిబంధనలు & షరతులు
andPrivacyPolicy,and Privacy Policy,এবং গোপনীয়তা নীতি,और गोपनीयता नीति,ಮತ್ತು ಗೌಪ್ಯತೆ ನೀತಿ,ଏବଂ ଗୋପନୀୟତା ନୀତି |,আৰু গোপনীয়তা নীতি,ગોપનીયતા નીતિ,आणि गोपनीयता धोरण,സ്വകാര്യതാ നയവും,ਅਤੇ ਗੋਪਨੀਯਤਾ ਨੀਤੀ,மற்றும் தனியுரிமைக் கொள்கை,మరియు గోప్యతా విధానం
pleaseEnterThe,Please enter the,দয়া করে প্রবেশ করুন,कृपया दर्ज करें,ದಯವಿಟ್ಟು ನಮೂದಿಸಿ,ଦୟାକରି ପ୍ରବେଶ କରନ୍ତୁ |,অনুগ্ৰহ কৰি প্ৰবিষ্ট কৰক,કૃપા કરીને દાખલ કરો,कृपया प्रविष्ट करा,ദയവായി നൽകുക,ਕਿਰਪਾ ਕਰਕੇ ਦਾਖਲ ਕਰੋ,தயவுசெய்து உள்ளிடவும்,దయచేసి నమోదు చేయండి
,,,,,,,,,,,,
sentFor,sent for ,জন্য পাঠানো,के लिए भेजा गया,ಕಳುಹಿಸಲಾಗಿದೆ,ପାଇଁ ପଠାଯାଇଛି,ইয়াৰ বাবে প্ৰেৰণ কৰা হৈছে,ને માટે,साठी पाठविले,ഇതിനായി അയച്ചു,ਲਈ ਭੇਜਿਆ,அனுப்பப்பட்டது,పంపబడింది
didn'tReceive,Didn’t receive,প্রাপ্তি হয়নি,प्राप्त नहीं हुआ,ಕಳುಹಿಸಬೇಕಾಗಿರುವುದು,ଗ୍ରହଣ କରିନାହିଁ |,প্ৰাপ্ত কৰা নাই,પ્રાપ્ત થયું નથી,प्राप्त झालेला नाही,സ്വീകരിച്ചില്ല,ਪ੍ਰਾਪਤ ਨਹੀ ਕੀਤਾ,பெறவில்லை,స్వీకరించలేదు
,,,,,,,,,,,,
yourShop,Your Shop,আপনার দোকান,आपकी दुकान,ನಿಮ್ಮ ಅಂಗಡಿ,ତୁମ ଦୋକାନ,আপোনাৰ দোকান,તમારી દુકાન,तुमचे दुकान,നിങ്ങളുടെ കട,ਤੁਹਾਡੀ ਦੁਕਾਨ,உங்கள் கடை,మీ దుకాణం
workingHours, Working hours, কর্মঘন্টা, काम करने के घंटे, ಕೆಲಸದ ಸಮಯ, କାର୍ଯ୍ୟ ସମୟ,কামৰ সময়, કામ નાં કલાકો, कामाचे तास, പ്രവർത്തി സമയം, ਕੰਮ ਦੇ ਘੰਟੇ, வேலை நேரம், పని గంటలు
nameAsPer,Name as per,অনুযায়ী নাম,नाम के अनुसार,ಹೆಸರಿನ ಪ್ರಕಾರ,ଅନୁଯାୟୀ ନାମ,নাম অনুসাৰে,મુજબ નામ,नुसार नाव,നാമം അനുസരിച്ച്,ਦੇ ਅਨੁਸਾਰ ਨਾਮ,ஒன்றுக்கு பெயர்,ప్రకారం పేరు
PanCard,PAN Card,প্যান কার্ড,पैन कार्ड,ಗುಂಡಿ ಚೀಟಿ,ପାନ୍ କାର୍ଡ |,পেন কাৰ্ড,પાન કાર્ડ,पॅन कार्ड,പാൻ കാർഡ്,ਪੈਨ ਕਾਰਡ,பான் அட்டை,పాన్ కార్డ్
re-enter,Re-enter,পুনরায় প্রবেশ,पुन: दर्ज,ಗುರುತಿನ ಚೀಟಿ,ପୁନ enter- ପ୍ରବେଶ କର |,পুনৰ প্ৰবিষ্ট কৰক,ફરી પ્રવેશ કરવો,पुन्हा प्रविष्ट करा,വീണ്ടും നൽകുക,ਦੁਬਾਰਾ ਦਾਖਲ ਕਰੋ,மீண்டும் உள்ளிடவும்,రీ-ఎంటర్
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
toDelete?,to delete?,মুছে দিন?,हटाना?,ಅಳಿಸಲು?,ବିଲୋପ କରିବାକୁ?,বিলোপ কৰিব নে?,કા delete ી નાખવા માટે?,हटविण्यासाठी?,ഇല്ലാതാക്കാൻ?,ਨੂੰ ਹਟਾਉਣ ਲਈ?,நீக்க?,తొలగించడానికి?
youCannotDelete,You cannot delete,আপনি মুছতে পারবেন না,आप हटा नहीं सकते,ನೀವು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ,ଆପଣ ବିଲୋପ କରିପାରିବେ ନାହିଁ |,আপুনি বিলোপ কৰিব নোৱাৰে,તમે કા delete ી શકતા નથી,आपण हटवू शकत नाही,നിങ്ങൾക്ക് ഇല്ലാതാക്കാൻ കഴിയില്ല,ਤੁਸੀਂ ਮਿਟਾ ਨਹੀਂ ਸਕਦੇ,நீங்கள் நீக்க முடியாது,మీరు తొలగించలేరు
activeUser!,Active User!,সক্রিয় ব্যবহারকারী!,सक्रिय उपयोगकर्ता!,ಸಕ್ರಿಯ ಬಳಕೆದಾರ!,ସକ୍ରିୟ ଉପଭୋକ୍ତା!,সক্ৰিয় ব্যৱহাৰকাৰী!,સક્રિય વપરાશકર્તા!,सक्रिय वापरकर्ता!,സജീവ ഉപയോക്താവ്!,ਕਿਰਿਆਸ਼ੀਲ ਉਪਭੋਗਤਾ!,செயலில் உள்ள பயனர்!,క్రియాశీల వినియోగదారు!
selectCategory,Select Category,বিভাগ নির্বাচন করুন,श्रेणी चुनना,ವರ್ಗವನ್ನು ಆಯ್ಕೆಮಾಡಿ,ବର୍ଗ ଚୟନ କରନ୍ତୁ |,শ্ৰেণী নিৰ্বাচন কৰক,કેટેગરી પસંદ કરો,श्रेणी निवडा,ഇനം തിരഞ്ഞെടുക്കുക,ਸ਼੍ਰੇਣੀ ਚੁਣੋ,பிரிவை தேர்வு செய்க,వర్గం ఎంచుకోండి
toAddProduct,to Add Product,পণ্য যোগ করতে,उत्पाद जोड़ने के लिए,ಉತ್ಪನ್ನವನ್ನು ಸೇರಿಸಲು,ଉତ୍ପାଦ ଯୋଡିବାକୁ |,সামগ্ৰী যোগ কৰিবলৈ,ઉત્પાદન ઉમેરવા માટે,उत्पादन जोडण्यासाठी,ഉൽപ്പന്നം ചേർക്കാൻ,ਉਤਪਾਦ ਸ਼ਾਮਲ ਕਰਨ ਲਈ,தயாரிப்பு சேர்க்க,ఉత్పత్తిని జోడించడానికి
mini.qty per Order,MIni. qty  per Order ,মিনি অর্ডার প্রতি Qty,छोटा। प्रति आदेश qty,ಮಿನಿ. ಪ್ರತಿ ಆದೇಶಕ್ಕೆ qty,ମିନି qty କ୍ରମ,মিনি। প্ৰতি অৰ্ডাৰত কিউটি,મીની. ઓર્ડર દીઠ QTY,प्रति ऑर्डर किमान प्रमाण,മിനി. ഓരോ ഓർഡറിനും qty,ਮਿਨੀ. ਕਿ quy% ਪ੍ਰਤੀ ਆਰਡਰ,மினி. ஒரு ஆர்டருக்கு qty,మినీ. QTY ప్రతి ఆర్డర్‌కు
,,,,,,,,,,,,
mini.PricePerOrder,Mini. price per Order,মিনি অর্ডার প্রতি মূল্য,छोटा। प्रति आदेश कीमत,ಮಿನಿ. ಪ್ರತಿ ಆದೇಶಕ್ಕೆ ಬೆಲೆ,ମିନି କ୍ରମର ମୂଲ୍ୟ,মিনি। প্ৰতি অৰ্ডাৰৰ মূল্য,મીની. હુકમ દીઠ ભાવ,प्रति ऑर्डर किमान किंमत,മിനി. ഓരോ ഓർഡറിനും വില,ਮਿਨੀ. ਪ੍ਰਤੀ ਆਰਡਰ,மினி. ஒரு ஆர்டருக்கு விலை,మినీ. ప్రతి ఆర్డర్‌కు ధర
yourUnsaved,Your unsaved,আপনার সংরক্ষিত,आपका अनसुना,ನಿಮ್ಮ ಉಳಿಸದ,ତୁମର ବିବ୍ରତ,আপোনাৰ সংৰক্ষিত নকৰা,તમારા વણસાચ,तुमचे जतन न केलेले,നിങ്ങൾ സംരക്ഷിക്കാത്തത്,ਤੁਹਾਡੀ ਅਸੁਰੱਖਿਅਤ,உங்கள் சேமிக்கப்படாதது,మీ సేవ్ చేయలేదు
detailsWill,details will,বিশদ হবে,विवरण होगा,ವಿವರಗಳು ತಿನ್ನುವೆ,ବିବରଣୀ ହେବ,বিৱৰণ সমূহ হ'ব,વિગતો હશે,तपशील जातील,വിശദാംശങ്ങൾ ചെയ്യും,ਵੇਰਵਾ ਕਰੇਗਾ,விவரங்கள்,వివరాలు రెడీ
beLost,be lost.,হারানো.,दफा हो जाओ।,ಆಧಾರಗಳ ಹಿನ್ನೆಲೆ,ହଜିଯାଅ,হেৰাই যাব।,ખોવાઈ જાય છે.,हरवले.,നഷ്ടപ്പെടും.,ਗੁੰਮ ਜਾਓ.,தொலைந்து போ.,కోల్పోతారు.
saveChanges,Save changes,পরিবর্তনগুলোর সংরক্ষন,परिवर्तनों को सुरक्षित करें,ಕಳೆದುಹೋಗಬಹುದು,ପରିବର୍ତ୍ତନଗୁଡିକ ସଞ୍ଚୟ କରନ୍ତୁ |,পৰিবৰ্তনসমূহ সংৰক্ষণ কৰক,ફેરફારો સંગ્રહ,बदल जतन करा,മാറ്റങ്ങൾ സൂക്ഷിക്കുക,ਕੀਤੇ ਗਏ ਬਦਲਾਅ ਸੁਰੱਖਿਅਤ ਕਰੋ,மாற்றங்களை சேமியுங்கள்,మార్పులను ఊంచు
beforeClosing,before closing,বন্ধ হওয়ার আগে,बंद होने से पहले,ಮುಚ್ಚುವ ಮೊದಲು,ବନ୍ଦ କରିବା ପୂର୍ବରୁ,বন্ধ কৰাৰ আগতে,બંધ કરતા પહેલા,बंद करण्यापूर्वी,അടയ്ക്കുന്നതിന് മുമ്പ്,ਬੰਦ ਕਰਨ ਤੋਂ ਪਹਿਲਾਂ,மூடுவதற்கு முன்,మూసివేసే ముందు
wouldYouLike,Would you like,আপনি কি,क्या आप एक चाहेंगे,ನೀವು ಬಯಸುವಿರಾ,ଆପଣ ପସନ୍ଦ କରିବେକି,আপুনি বিচাৰে নেকি,તમને ગમશે,तुम्हाला आवडेल का,നിനക്ക് വേണം,ਕੀ ਤੁਸੀਂ ਪਸੰਦ ਕਰੋਗੇ,நீங்கள் விரும்புகிறீர்களா?,మీరు కావాలనుకుంటున్నారా
toMoveTo,to move to,সরাতে,को स्थानांतरित करने को,ಗೆ ಹೋಗಲು,କୁ ଯିବା ପାଇଁ,স্থানান্তৰ কৰিবলৈ,આગળ વધવું,येथे जाण्यासाठी,നീങ്ങാൻ,ਕਰਨ ਲਈ,செல்ல,వెళ్ళడానికి
,,,,,,,,,,,,
areYouSure,Are you sure.,তুমি কি নিশ্চিত.,क्या आपको यकीन है।,ನೀವು ಖಚಿತವಾಗಿರುವಿರಾ.,ତମେ ନିଶ୍ଚିତ କି।,তুমি নিশ্চিত নে।,તમને ખાતરી છે?,तुम्हाला खात्री आहे?,നിങ്ങൾക്ക് ഉറപ്പാണോ.,ਤੁਹਾਨੂੰ ਪੂਰਾ ਵਿਸ਼ਵਾਸ ਹੈ.,நீ சொல்வது உறுதியா.,మీరు చెప్పేది నిజమా.
doYouWant,Do you want,তুমি কি চাও,क्या तुम चाहते हो,ನಿನಗೆ ಬೇಕಾ,ଆପଣଙ୍କୁ ଦରକାର କି,তোমাক লাগে নেকি,તમે માંગો છો,तुम्हाला पाहिजे आहे का?,നിനക്കാവശ്യമുണ്ടോ,ਤੁਹਾਨੂੰ ਚਾਹੁੰਦਾ ਹੈ,உங்களுக்கு வேண்டுமா?,మీకు కావాలా
max.qty,Max. qty per Order ,সর্বোচ্চ অর্ডার প্রতি Qty,अधिकतम। प्रति आदेश qty,ನಿಮಗೇ ಬೇಕಾ,ସର୍ବାଧିକ qty କ୍ରମ,প্ৰতি অৰ্ডাৰত সৰ্বাধিক কিউটি,મહત્તમ. ઓર્ડર દીઠ QTY,प्रति ऑर्डर कमाल  प्रमाण,പരമാവധി. ഓരോ ഓർഡറിനും qty,ਅਧਿਕਤਮ ਕਿ quy% ਪ੍ਰਤੀ ਆਰਡਰ,அதிகபட்சம். ஒரு ஆர்டருக்கு qty,గరిష్టంగా. QTY ప్రతి ఆర్డర్‌కు
rambutanIs,Rambutan is,রামবুটান হয়,रामबुटन है,ಗರಿಷ್ಟ ಪ್ರಮಾಣ,ରାମବାଟାନ୍ ହେଉଛି |,ৰামবুতান হৈছে,રેમ્બુટાન છે,रामबुटन आहे,റാംബട്ടൻ,ਰਾਮਟਾਨ ਹੈ,ரம்புட்டான்,రాంబుటాన్
movedTo,moved to,সরানো,में ले जाया गया,ಗೆ ಸರಿಸಲಾಗಿದೆ,କୁ ଘୁଞ୍ଚିଗଲା |,স্থানান্তৰিত হৈছে,માં,कडे हलवले,നീക്കി,ਚਲੇ ਗਏ,நகர்த்தப்பட்டது,తరలించటం జరిగినది
BPLID,BPL ID,বিপিএল আইডি,बीपीएल आईडी,ಬಿಪಿಎಲ್ ಐಡಿ,BPL ID,বিপিএল আইডি,બીપીએલ આઈડી,बीपीएल आयडी,ബിപിഎൽ ഐഡി,ਬੀਪੀਐਲ ਆਈਡੀ,பிபிஎல் ஐடி,BPL ID
,,,,,,,,,,,,
,,,,,,,,,,,,
